Reference,Title,Country
KR101075925,Network-initiated communication establishment in a cellular system,KR
KR101076262,ANTI-REFLECTIVE ORGANIC LIGHT EMITTING DIODE DEVICE,KR
KR101077981,"A GRAPHICAL USER INTERFACE, ELECTRONIC DEVICE, METHOD AND COMPUTER PROGRAM THAT USES SLIDERS FOR USER INPUT",KR
KR101078100,System and method for navigating computer programs using a graphical user interface,KR
KR101078124,Data Compression,KR
KR101078473,Transmission using a plurality of protocols,KR
KR101082225,SCREEN-PRINTABLE ENCAPSULANTS BASED ON POLYHYDROXYAMIDES THAT THERMALLY CONVERT TO POLYBENZOXAZOLES,KR
KR101084513,Method And Apparatus For MPEG Artifacts Reduction,KR
KR101087391,METHOD FOR MANUFACTURING CMOS IMAGE SENSOR,KR
KR101088546,BACK-TO-FRONT VIA PROCESS,KR
KR101088548,MEMORIES WITH FRONT END PRECHARGE,KR
KR101088598,IMAGE SENSOR AND MANUFACTURING METHOD THEREOF,KR
KR101088612,"A combination nonvolatile memory using unified technology with byte, page and block write and simultaneous read and write operations",KR
KR101088926,FRONT-END PROCESSED WAFER HAVING THROUGH-CHIP CONNECTIONS ,KR
KR101090616,ISOLATING CHIP-TO-CHIP CONTACT,KR
KR101092106,Data Compression,KR
KR101094119,Method And System For Managing An Interactive Video Display System,KR
KR101094674,Pixel Overdrive For An LCD Panel With A Very Slow Response Pixel,KR
KR101095589,Contactless Programming And Testing Of Memory Elements,KR
KR101096841,Matching Queries In A Network,KR
KR101096900,Methods for integration of thin-film capacitors into the build-up layers of a printed wiring board,KR
KR101099840,Network-initiated communication establishment in a cellular system,KR
KR101100965,STAGGERED AGC WITH DIGITALLY CONTROLLED VGA,KR
KR101102410,Up and down sample rate converter,KR
KR101102411,Initial synchronization for receivers,KR
KR101102412,Antenna switch with adaptive filter,KR
KR101102629,Method For Coding Structured Documents,KR
KR101106310,CMOS IMAGE SENSOR HAVING GATE METAL CONTACT OF DRIVE TRANSISTOR AND SELECT TRANSISTOR ON ACTIVE REGION,KR
KR101106329,Method of packaging an optical sensor,KR
KR101106336,Image Sensor With Improved Signal To Noise Ratio And Method For Fabrication Thereof,KR
KR101106378,SYSTEM AND/OR METHOD FOR BIDDING,KR
KR101106910,METHOD OF VISUALIZING A LARGE STILL PICTURE ON A SMALL-SIZE DISPLAY,KR
KR101107565,Zero-knowledge proof cryptography methods and devices,KR
KR101108743,METHOD AND APPARATUS FOR HOLOGRAPHIC USER INTERFACE COMMUNICATION,KR
KR101110558,Network-initiated communication establishment in a cellular system,KR
KR101115092,Image Sensor With Improved Charge Transfer Efficiency And Fabricating Method Thereof To Change Potential Distribution Of Photodiode,KR
KR101115142,MANUFACTURING METHOD FOR IMAGE SENSOR,KR
KR101115147,METHODS FOR MULTICASTING CONTENT,KR
KR101116265,Wireless device with dynamic fragmentation threshold adjustment,KR
KR101118339,Mapping services to radio bearers and allocating bandwidth to the radio bearers according to weight values,KR
KR101118418,CMOS IMAGE SENSOR USING GATE METAL CONTACT FORMED WITHIN ACTIVE REGION,KR
KR101118772,METHOD AND/OR SYSTEM FOR REDUCTION OF PAPR,KR
KR101118774,Image sensor device,KR
KR101118798,POST-SEED DEPOSITION PROCESS,KR
KR101119761,BINDING OF CONSTITUENTS HAVING A HIGH MOBILITY IN AN ELECTRONIC CONNECTION,KR
KR101119771,IMPROVED METHOD OF DETECTING SWITCHING POWER SUPPLY OUTPUT CURRENT,KR
KR101120374,METHOD AND APPARATUS FOR AN ADAPTIVE MULTIPLE -INPUT MULTIPLE OUTPUT (MIMO) WIRELESS COMMUNICATIONS SYSTEMS,KR
KR101120449,ASSISTED SELECTIVE GROWTH OF HIGHLY DENSE AND VERTICALLY ALIGNED CARBON NANOTUBES,KR
KR101121940,USER-INITIATED COMMUNICATIONS DURING MULTIMEDIA CONTENT PLAYBACK ON A MOBILE COMMUNICATIONS DEVICE,KR
KR101122390,METHOD AND SYSTEM FOR INCREASING SAMPLING FREQUENCY FOR SWITCHING AMPLIFIERS,KR
KR101122392,Power detection circuit for use in a power amplifier,KR
KR101122847,SAMPLING FREQUENCY REDUCTION FOR SWITCHING AMPLIFIERS,KR
KR101122917,"A combination nonvolatile memory using unified technology with byte, page and block write and simultaneous read and write operations",KR
KR101122985,ADAPTIVE PREDISTORTION FOR A TRANSMIT SYSTEM,KR
KR101123592,MOBILE SPEED AND DOPPLER FREQUENCY ESTIMATION USING CYCLOSTATIONARITY,KR
KR101124116,ADAPTIVE BIAS CURRENT AND METHOD FOR AMPLIFIERS,KR
KR101125721,RF power amplifiers with linearization,KR
KR101126859,"Load Balancing and Admission Scheduling in Pull-Based Parallel Video Servers
",KR
KR101128578,CMOS Image Sensors With Floating Base Readout Concept,KR
KR101128748,Low power DVD playback in a portable computing system,KR
KR101130060,Temporal Motion Vector Filtering,KR
KR101135243,A Device And A Method Of Playing Audio Clips,KR
KR101140888,Multiple pole multiple throw switch device based on composite right and left handed metamaterial structures,KR
KR101141087,PROCESSING OF GESTURE-BASED USER INTERACTIONS,KR
KR101142057,Managing Communications On An R-Smart Network,KR
KR101142224,CMOS Image Sensor,KR
KR101142608,ACCESS CONTROL FOR A DECENTRALIZED OR EMERGENT MODEL ON A COMPUTER NETWORK,KR
KR101144693,Virtual Extended Display Information Data (EDID) In A Flat Panel Controller,KR
KR101145059,CMOS Image Sensor And Method For Operating The Same For Preventing Reduction Of Dynamic Range As Much As Threshold Voltage Of NMOS Transistor Although Unit Pixel Has NMOS Transistor,KR
KR101145091,SYSTEM AND METHOD FOR BANDPASS SIGMA-DELTA MODULATION,KR
KR101145159,A METHOD TO PREVENT ALTERNATING MOBILE NODE IDENTITY IN BORDERS BETWEEN DOMAINS IN A WIRELESS NETWORK,KR
KR101145534,Methods and systems for controlling computers or linking to internet resources from physical and electronic objects,KR
KR101145557,Translation lookaside buffer with partial tag hashed according to page size indicator,KR
KR101145569,Low pass filter and electronic device,KR
KR101145966,MEMORY WITH INDEPENDENT ACCESS AND PRECHARGE,KR
KR101146161,WIRELESS COMMUNICATION DEVICE AND METHOD,KR
KR101146162,Adaptive compression of multi-level images,KR
KR101147945,"Variable resistance element, and its manufacturing method",KR
KR101149182,SYSTEM AND METHOD FOR SINGLE-CARRIER SPACE-FREQUENCY BLOCK CODED TRANSMISSION OVER FREQUENCY SELECTIVE AND FAST FADING CHANNELS,KR
KR101155736,Solubility additive for ink compositions,KR
KR101156998,DIGITAL STORAGE ARRANGEMENT,KR
KR101157675,IMAGE SENSOR AND METHOD FOR MANUFACTURING THE SAME,KR
KR101157687,Method for processing image data,KR
KR101157710,Pulse Width Modulation Sequence Maintaining Maximally Flat Voltage During Current Transients,KR
KR101157726,ULTRA-THIN STACKED CHIPS PACKAGING,KR
KR101158956,METHOD FOR DISTRIBUTING CERTIFICATES IN A COMMUNICATION SYSTEM,KR
KR101159082,Robust Camera Pan Vector Estimation Using Iterative Center Of Mass,KR
KR101160107,SOLID STATE STORAGE ELEMENT AND METHOD,KR
KR101160504,Redundant Data Forwarding Storage,KR
KR101161058,Feedback on Input Actuator,KR
KR101161605,Direct user plane tunnel delivery of broadcast and multicast traffic,KR
KR101162446,Robust cooperative spectrum sensing for cognitive radios,KR
KR101162468,"AUTOMATIC DATA STORE ARCHITECTURE DETECTION
",KR
KR101163855,CMOS Image Sensors With Floating Base Readout Concept,KR
KR101164698,TECHNIQUES FOR UPSTREAM FAILURE DETECTION AND FAILURE RECOVERY,KR
KR101165650,Image Transfer Apparatus,KR
KR101168786,CHIP CONNECTOR,KR
KR101169511,BOWED WAFER HYBRIDIZATION COMPENSATION,KR
KR101170178,LASER AND DETECTOR DEVICE,KR
KR101172937,DATA CODING USING AN EXPONENT AND A RESIDUAL,KR
KR101174328,MOBILE SPEED AND DOPPLER FREQUENCY ESTIMATION USING CYCLOSTATIONARITY,KR
KR101175393,WAFER VIA FORMATION,KR
KR101175961,METHOD FOR COLORIZING A DIGITAL HALFTONE,KR
KR101176868,RRC SIGNALLING FOR FAST HS-DSCH SERVING CELL CHANGE,KR
KR101177732,DEMAND-DRIVEN PRIORITIZED DATA STRUCTURE,KR
KR101178929,CLOCK CIRCUIT AND METHOD,KR
KR101178990,HIGH SPEED CLOCK DISTRIBUTION TRANSMISSION LINE NETWORK,KR
KR101179287,System and method for calculating expected approval rates,KR
KR101179421,Metamaterial power amplifier systems,KR
KR101182174,Power control in a wireless communication system,KR
KR101182175,Mapping services to radio bearers and allocating bandwidth to the radio bearers according to weight values,KR
KR101182611,"Variable resistance element, and its manufacturing method",KR
KR101183074,Power control in a wireless communication system,KR
KR101186389,System and method for privacy-enabled mobile locator services with dynamic encounter horizon,KR
KR101187152,Geolocation assisted data forwarding storage,KR
KR101190991,Pre registration/pre-authentication in wireless networks,KR
KR101191462,Transmit announcement indication,KR
KR101191523,CHIP CONNECTOR,KR
KR101191575,"CONTINUOUS GAIN COMPENSATION AND FAST BAND SELECTION IN A MULTI-STANDARD, MULTI-FREQUENCEY SYNTHESIZER",KR
KR101192231,Filter design methods and filters based on metamaterial structures,KR
KR101194966,Deletion in data file forwarding framework,KR
KR101195321,IDENTIFICATION OF TEXT,KR
KR101195340,Measurement in data forwarding storage,KR
KR101195354,Rotating encryption in data forwarding storage,KR
KR101196079,MULTIVALUE MEMORY STORAGE WITH TWO GATING TRANSISTORS,KR
KR101199100,CMOS Image Sensor Having Asymmetric Well Structure Of Source Follower,KR
KR101199646,RECOVERY TECHNIQUES FOR WIRELESS COMMUNICATIONS NETWORKS,KR
KR101201968,"CMOS IMAGE SENSOR USING OPTICAL WAVEGUIDE INSULATING LAYER MADE OF SINGLE MATERIAL FOR IMPROVING LIGHT CONDENSING EFFICIENCY, AND MANUFACTURING METHOD THEREOF",KR
KR101206169,A METHOD TO PREVENT ALTERNATING MOBILE NODE IDENTITY IN BORDERS BETWEEN DOMAINS IN A WIRELESS NETWORK,KR
KR101207249,NOISE REDUCTION SYSTEM AND METHOD,KR
KR101208177,System and scheduler for intercell interference cancellation,KR
KR101212423,Symmetric transmit opportunity (TXOP) truncation,KR
KR101212840,System and scheduler for intercell interference cancellation,KR
KR101217972,Thin film capacitor and method of fabrication thereof,KR
KR101223828,REMOVABLE COUPLING OF AN OPTO-ELECTRONIC MODULE INTO A FRONT ACCESS RACK,KR
KR101224299,CHIP SPANNING CONNECTION,KR
KR101225284,Memory,KR
KR101225292,METHOD AND APPARATUS FOR ENHANCED BROWSING,KR
KR101234007,Reconfigurable wireless communications device and radio,KR
KR101234958,Adaptive Contrast Enhancement,KR
KR101235935,PROGRAMMABLE TRANSMITTER ARCHITECTURE FOR NON-CONSTANT AND CONSTANT ENVELOPE MODULATION,KR
KR101237550,METHOD AND APPARATUS FOR PROVIDING DYNAMIC SELECTION OF CARRIERS,KR
KR101237649,"MOBILE COMMUNICATIONS NETWORK, METHOD AND APPARATUSES",KR
KR101237727,Compatible broadcast downlink and unicast uplink interference reduction for a wireless communication system,KR
KR101238576,"PLANAR ANTENNA PROVIDED WITH CONDUCTIVE STUDS ABOVE A GROUND PLANE AND/OR WITH AT LEAST ONE RADIATOR ELEMENT, AND CORRESPONDING PRODUCTION METHOD",KR
KR101240143,NON-BLOCKING ADMINISSION CONTROL,KR
KR101242808,METHOD FOR EQUITABLE PLACEMENT OF A LIMITED NUMBER OF SENSORS FOR WIDE AREA SURVEILLANCE,KR
KR101244553,Optimizing downlink throughput with user cooperation and scheduling in adaptive cellular networks,KR
KR101244958,Power control in a wireless communication system,KR
KR101245928,ULTRA-THIN STACKED CHIPS PACKAGING,KR
KR101252528,Disassembly/reassembly in data forwarding storage,KR
KR101258750,Direct user plane tunnel delivery of broadcast and multicast traffic,KR
KR101259669,METHOD FOR OPTIMIZING RFID DEPLOYMENT AND RFID DEPLOYMENT OPTIMIZER OF USE THEREOF,KR
KR101261329,Power control in a wireless communication system,KR
KR101266249,PIXEL STRUCTURE OF CMOS IMAGE SENSOR WITH DEEP P-TYPE ION IMPLANTED REGION FOR PREVENTING CROSSTALK AND MANUFACTURING METHOD THEREOF,KR
KR101266414,Backside Illuminated Image Sensor,KR
KR101266594,SOLID STATE STORAGE ELEMENT AND METHOD,KR
KR101266685,METHOD AND SYSTEM FOR POLICY ENABLED PROGRAMMING,KR
KR101267109,"CRYPTOGRAPHIC PRIMITIVES, ERROR CODING, AND PSEUDO-RANDOM NUMBER IMPROVEMENT METHODS USING QUASIGROUPS",KR
KR101268218,Perception-Aware Low-Power Audio Decoder For Portable Devices,KR
KR101268611,Automatic Fault-Testing Of Logic Blocks Using Internal At-Speed Logic-BIST,KR
KR101269726,Power control in a wireless communication system,KR
KR101270342,EXCHANGE OF KEY MATERIAL,KR
KR101270420,Wireless data exchange,KR
KR101270461,Bulk acoustic wave filter with reduced nonlinear signal distortion,KR
KR101271876,APPARATUS AND METHOD FOR IMPROVING RELIABILITY OF COLLECTED SENSOR DATA OVER A NETWORK,KR
KR101277816,Cluster-based cooperative spectrum sensing in cognitive radio systems,KR
KR101277843,Cooperative concatenated coding for wireless systems,KR
KR101281329,ULTRA-WIDEBAND ANTENNA WITH EXCELLENT DESIGN FLEXIBILITY,KR
KR101286877,Multiuser scheduling for MIMO broadcast channels with finite rate feedback,KR
KR101291778,"Spin-Valve Element Driving Method, And Spin-Valve Element",KR
KR101291885,A METHOD AND A SYSTEM FOR MEDIA DELIVERY IN DATA FORWARDING STORAGE NETWORK,KR
KR101291912,Selective data forwarding storage,KR
KR101291987,Advertisement forwarding storage and retrieval network,KR
KR101293834,Image file providing raw and processed data,KR
KR101296544,PROGRAMMABLE RADIO TRANSCEIVER,KR
KR101303532,VIRUS LOCALIZATION USING CRYPTOGRAPHIC HASHING,KR
KR101304040,Memory,KR
KR101305752,Multimedia watermarking techniques with low distortion,KR
KR101316184,METHOD AND APPARATUS FOR USE OF SPACE TIME TRELLIS CODES BASED ON CHANNEL PHASE FEEDBACK,KR
KR101319962,Power control in cognitive radio systems based on spectrum sensing side information,KR
KR101321198,Composite organic encapsulants,KR
KR101324890,Memory,KR
KR101324895,Memory,KR
KR101326361,Memory,KR
KR101327452,PROJECTION-TYPE DISPLAY AND CONTROL THEREOF,KR
KR101330596,Power combiners using meta-material composite right/left hand transmission line at infinite wavelength frequency,KR
KR101332462,Peer to peer sharing of functionality of mobile devices,KR
KR101332528,Cooperative concatenated coding for wireless systems,KR
KR101333978,Pixel structure for a solid state light emitting device,KR
KR101335133,POSTURE-BASED DATA PROTECTION,KR
KR101339958,Backside Illuminated Image Sensor,KR
KR101348428,Hard-Decision Iteration Decoding Based On An Error-Correcting Code With A Low Undetectable Error Probability,KR
KR101352177,Bulk acoustic wave resonator,KR
KR101352265,Engineered structure for solid-state light emitters,KR
KR101352468,SYSTEM FOR PROJECTION TYPE STEREOSCOPIC DISPLAY,KR
KR101362999,MULTI-SOURCE PROJECTION-TYPE DISPLAY,KR
KR101364875,System and Method for Operating a Network of Sensors,KR
KR101373233,Backside Illuminated Image Sensor,KR
KR101379101,Feedback control in TDD system operating in FDD mode,KR
KR101380932,MULTIMEDIA PROJECTION MANAGEMENT,KR
KR101397654,"Magnetic Memory Element, Method For Driving The Magnetic Memory Element, And Nonvolatile Storage Device",KR
KR101399668,"Method, Apparatus and Computer Program to Perform Location Specific Information Retrieval Using a Gesture-Controlled Handheld Mobile Device",KR
KR101399791,System and Method for Applications on Mobile Communications Devices,KR
KR101399810,System and Method for Migrating Agents Between Mobile Devices,KR
KR101409559,IMPROVED METHODS OF MID­FREQUENCY DECOUPLING ,KR
KR101411555,Real-time communications over data forwarding framework,KR
KR101419548,POST & PENETRATION INTERCONNECTION,KR
KR101425254,Apparatus and method for uplink scheduling in a wireless communication system,KR
KR101425255,Method and apparatus for transmitting transport channels over a physical channel of a cellular communication system,KR
KR101431313,Method and apparatus for dynamically allocating a communication cell to a cluster,KR
KR101436703,"Apparatus, Method and System for Providing AC Line Power to Lighting Devices",KR
KR101437192,Dynamic network selection using kernels,KR
KR101437248,System and Method for Approving Transactions,KR
KR101437249,System and Method for Loading Application Classes,KR
KR101445439,Method and apparatus for providing cell configuration information to a network element,KR
KR101448284,Backside Illuminated Image Sensor,KR
KR101452522,A SIGMA-DELTA MODULATOR,KR
KR101452601,CHIP CONNECTOR,KR
KR101456950,"Spin Valve Element, And Its Driving Method",KR
KR101458263,Magnetoresistive Element And Memory Device Using Same,KR
KR101460847,Method and apparatus for providing broadcast services,KR
KR101461262,Magnetic Memory Element And Its Driving Method And Nonvolatile Memory Device,KR
KR101467267,Spin-Valve Element And Its Manufacturing Method,KR
KR101473516,Spin Valve Element And Storage Device,KR
KR101476491,Spin Valve Element And Its Driving Method And Storage Device Employing Them,KR
KR101493793,"Wireless communication system, communication unit, and method for scheduling",KR
KR101505229,DISPLAY DEVICE WITH CAPTURE CAPABILITIES,KR
KR101516216,"System and method for high-performance, low-power data center interconnect fabric",KR
KR101530414,"Communication system, communication units, and method for employing a pilot transmission scheme",KR
KR101530471,Defect Mitigation Structures For Semiconductor Devices,KR
KR101531783,VIDEO SUMMARY INCLUDING A PARTICULAR PERSON,KR
KR101545528,Back Side Illumination Image Sensor and Method for Manufacturing the same,KR
KR101550080,"Magnetic Memory Element, Method For Driving Same, And Nonvolatile Storage",KR
KR101558118,System and method for flexible storage and networking provisioning in large scalable processor installations,KR
KR101594383,Non-Contact Current Sensor,KR
KR1019970004876,Signal processing system,KR
KR1019970063919,SAW filters inside the sealed ceramic package,KR
KR1019980070285,SURFACE ELASTIC WAVE FILTERS WITH POLES OF ATTENUATION CREATED BY IMPEDANCE CIRCUITS,KR
KR1019980079838,SAW ladder filter with inter-stage matching SAW resonator,KR
KR1019980080129,DEVICE FOR TRANSMITTING DATA BASED ON TEXT RECOGNITION RESULT,KR
KR1019980080314,"UPDATE NOTIFICATION APPARATUS IN INFORMATION COMMUNICATION SYSTEM USING COMPUTER NETWORK, AND PROGRAM RECORDING MEDIUM",KR
KR1019980080559,HOME PAGE OFFER APPARATUS AND HOME PAGE OFFER METHOD,KR
KR1019980080988,THE INPUTTING WRITING DATA APPARATUS FOR HAVING THE COORDINATE DETECTION TABLET,KR
KR1019980080989,THE INPUTTING WRITING DATA APPARATUS FOR HAVING THE COORDINATE DETECTION TABLET,KR
KR1019980081480,THE INFORMATION PROCESSING UNIT FOR HAVING THE AGENT FUNCTION,KR
KR1020000064856,Network System For Serving Information To Mobile Terminal Apparatus,KR
KR1020000076648,SHARED MEMORY,KR
KR1020080018272,"Manganese doped barium titanate thin film compositions, capacitors, and methods of making thereof",KR
KR1020080043398,Limited Use Data Storing Device ,KR
KR1020080077603,Multi-Stage Waveform Detector,KR
KR1020080102205,Variable Metamaterial Apparatus,KR
KR10970075999,"LCD panel
",KR
KR10970704217,A continuous page random access memory and systems and methods using the same,KR
KR10970704289,IMAGE RENDERING SYSTEM,KR
KR10980024690,"MULTILEVEL SEMICONDUCTOR MEMORY, WRITE/READ METHOD THERETO/THEREFROM AND STORAGE MEDIUM STORING WRITE/READ PROGRAM",KR
KR10980042890,Active matrix base for LCD,KR
KR10980070909,Active-matrix type liquid-crystal display,KR
KR10980071480,THE INFORMATION PROCESSING UNIT FOR ADVISING THE INFORMATION,KR
KR10990007002,Method And Apparatus For Automatically Determining Signal Parameters Of An Analog Display Signal Received By A Display Unit Of A Computer System,KR
KR10990029793,Liquid crystal display device with wide viewing angle,KR
KR10990036938,Thin-film transistor arrays for liquid crystal display device and manufacturing method,KR
KR10990037451,"Semiconductor device and manufacturing method thereof, especially for an LCD capable of preventing short-circuit occurred by current leakage between terminals due to corrosion of metal wires by installing an interterminal anti-short-circuiting pattern that is effective for cutting off humidity",KR
KR10990037566,In-plane switching type liquid crystal display device and a method for operating the device for reducing uneven display by installing a chromaticity controller for controlling the chromaticity of the backlight,KR
KR10990045054,Semiconductor device suitable for a flat display LCD of an active matrix display comprising a-si TFT and its fabrication method,KR
KR10990045428,Driving circuit for LCD devices,KR
KR10990045671,"Active matrix liquid crystal display device

 
",KR
KR10990063509,NETWORK-ACCESS MANAGEMENT SYSTEM AND METHOD APPLIED TO A NETWORK AND A STORAGE MEDIUM FOR STORING DISPLAY DATA CREATING PROGRAM,KR
KR10990066919,DISPLAY DEVICE WITH CONDENSER ELEMENTS,KR
KR10990081962,Method for assigning band port channels in an unlicensed personal communications system,KR
KR10990082016,Method And Apparatus Supporting Non-Geographic Telephone Numbers,KR
KR180509,THREE-DIMENSIONAL VIDEO SYSTEM,KR
KR20000003407,Photodiode Of Image Sensor,KR
KR20000003979,Image Sensor,KR
KR20000004883,METHOD FOR MANUFACTURING UNIT PIXEL HAVING A NEGATIVE SUBSTRATE VOLTAGE IN CMOS IMAGE SENSOR,KR
KR20000033587,PROJECTION TYPE MULTIVIEW 3-DIMENSIONAL IMAGING SYSTEM,KR
KR20000041364,Cmos Image Sensor And Method For Driving The Same,KR
KR20000041445,UNIT PIXEL OF CMOS IMAGE SENSOR HAVING PN DIODE CONNECTED TO FLOATING SENSING NODE,KR
KR20000044543,Apparatus And Method For Detecting And Correcting Inferior Pixels In Image Sensor,KR
KR20000044546,Apparatus And Method For Controlling Brightness Of Screen Using Counter Counting Green Pixel Value In Image Sensor,KR
KR20000044587,Method For Fabricating CMOS Image Sensor,KR
KR20000058057,Liquid crystal display device,KR
KR20010006914,Composite Integrated Circuit Device,KR
KR20010007225,"LCD panel unit for a LCD device
",KR
KR20010049879,Liquid crystal display device,KR
KR20010051675,Thin-film transistor substrate and manufacturing method therefor,KR
KR20010086511,Active Pixel Circuit Of Cmos Image Sensor,KR
KR20010097356,Contents Structure with a Spiral Donut and Contents Display System,KR
KR20020014081,Servo Method Of Optical Record Medium,KR
KR20060073535,UPGRADING DIGITAL MEDIA SERVERS,KR
KR20060133547,Jtag test architecture for multi-chip pack,KR
KR20070001247,Method of down-sampling data values,KR
KR20070008508,METHOD FOR AMPLITUDE INSENSITIVE PACKET DETECTION,KR
KR20070010160,Methods And Systems For High Write Performance In Multi-Bit Flash Memory Devices,KR
KR20110056382,Magnetic Memory Element And Storage Device Using Same,KR
KR20110098899,Magnetic Memory Element And Nonvolatile Storage Device,KR
KR20120027122,Magnetic Memory Element And Storage Device Using Same,KR
KR20120036793,Magnetic Memory Element And Driving Method Therefor,KR
KR20120083314,Magnetoresistive Element And Non-Volatile Semiconductor Memory Device Using Same,KR
KR20140076632,IMAGE RECOMPOSITION USING FACE DETECTION,KR
KR20140099247,System and method for dynamically power and performance optimized server interconnects,KR
KR20150041805,System and method for flexible storage and networking provisioning in large scalable processor installations,KR
KR20160004393,System and method for dynamically power and performance optimized server interconnects,KR
KR20160022389,Non-Contact Current Sensor,KR
KR2020100003083,Angle-adjustable heat-dissipating pad for portable computer,KR
MX1996000999,Signal processing system,MX
MX1997009350,REFUNDABLE PREPAID TELEPHONE CARD,MX
MX1998004951,METHOD AND APPARATUS FOR INFORMATION LABELING AND CONTROL,MX
MX2000004565,FILE TRANSFER SYSTEM,MX
MX2007002798,COOLING SYSTEMS INCORPORATING HEAT TRANSFER MESHES,MX
MX2007011983,"Method, system, and computer program product for electronic messaging",MX
MX2008008808,SYSTEM INCLUDING A HARD DISK DRIVE AND STRAY MAGNETIC FIELD SENSOR AND ASSOCIATED METHOD,MX
MX2008013075,METHODS OF RESOLVING DATAGRAM CORRUPTION OVER AN INTERNETWORKING PROTOCOL,MX
MX2009001345,SOLID STATE STORAGE ELEMENT AND METHOD,MX
MX2009004666,VIRUS LOCALIZATION USING CRYPTOGRAPHIC HASHING,MX
MX2009005573,DEMAND-DRIVEN PRIORITIZED DATA STRUCTURE,MX
MX9709401,"METHOD AND APPARATUS FOR PROVIDING A PREPAID, REMOTE ENTRY CUSTOMER ACCOUNT",MX
MX98005339,Custom character-coding compression for encoding and watermarking media content,MX
MX9805828,Method for assigning band port channels in an unlicensed personal communications system,MX
MXPA/A/2003/009181,TECHNIQUE FOR PROVIDING ANNOUNCEMENTS IN MOBILE-ORIGINATED CALLS                                                                       ,MX
MXPA00001223,Neonanoplasts and microemulsion technology for inks and ink jet printing,MX
MXPA00006655,MOBILE CREW MANAGEMENT SYSTEM FOR DISTRIBUTING WORK ORDER ASSIGNMENTS TO MOBILE FIELD CREW UNITS,MX
MXPA01000359,Ink compositions of improved ink jet,MX
MXPA01004705,"APPARATUS AND METHOD FOR DESCRIBING, PLANNING AND AUTOMATICALLY PROGRAMMING COMPLEX FINISHING TASKS.",MX
MXPA01010234,SYSTEM FOR ACCESSING A SYNCHRONOUS NETWORK COMPRISING A TRANSMITTER EQUIPMENT AND A RECEIVER EQUIPMENT,MX
MXPA01012991,Voice-To-Remaining Audio (VRA) Interactive Center Channel Downmix,MX
MXPA01012997,VOICE-TO-REMAINING AUDIO (VRA) INTERACTIVE HEARING AID AND AUXILIARY EQUIPMENT,MX
MXPA02002446,Transaction card,MX
MXPA02004386,Coating for textiles for ink jet printing,MX
MXPA02010121,Locking mechanism for use with non-permanent access code,MX
MXPA02011734,VIDEO ERROR RESILIENCE,MX
MXPA02012011,Novel photoinitiators and applications therefor,MX
MXPA03003640,"Coating for treating substrates for ink jet printing including imbibing solution for enhanced image visualization and retention, method for treating said substrates, and articles produced therefrom",MX
MXPA04011592,METHOD AND APPARATUS FOR DISTRIBUTED SIGNALING FOR UPLINK RATE CONTROL                                                              ,MX
MXPA05003014,ADAPTIVE EXPANDED INFORMATION CAPACITY FOR TELEVISION COMMUNICATIONS SYSTEMS,MX
MXPA05003148,CABLE TELEVISION SYSTEM AND METHOD FOR COMPATIBLE BANDWIDTH UPGRADE USING EMBEDDED DIGITAL CHANNELS,MX
MXPA06014522,HIGH POWER LED ELECTRO-OPTIC ASSEMBLY.,MX
MXPA09011633,Payment application download to mobile phone and phone personalization,MX
MXPA99003462,Facsimile to e-mail communication system with local interface,MX
NL1005858,Autostereoscopic display and method,NL
NL1012470,Horizontal electric field LCD with increased capacitance between pixel and common electrodes,NL
NO20004734,IMPROVEMENTS WITH REGARD TO SECURITY IN DATA CONFERENCES,NO
NO20012698,FILTERING OF IP-PACKET TRAFFIC IN GPRS,NO
NO20025184,DEVICE AND METHOD FOR SERVICE DIFFERENTIATION IN A COMMUNICATION NETWORK,NO
NO20035284,APPARATUS AND METHOD FOR PROVIDING ACCESS TO A PLMN USING SHORT-RANGE RADIO COMMUNICATION IN LOCAL PREMISES,NO
NZ534656,System and method for processing trip requests,NZ
NZ570617,Fraud control when granting instant credit,NZ
NZ593732,Fraud control when granting instant credit,NZ
Reference Number,Title,Country
RU0134175,Method for quantizing amplification coefficients for linear prognosis speech encoder with code excitation,RU
SE519229,DEVICE AND METHOD FOR SERVICE DIFFERENTIATION IN A COMMUNICATION NETWORK,SE
SE519475,FILTERING OF IP-PACKET TRAFFIC IN GPRS,SE
SE520979,IMPROVEMENTS WITH REGARD TO SECURITY IN DATA CONFERENCES,SE
SE521479,"IMPROVEMENTS IN, OR RELATING TO, CELLULAR RADIO COMMUNICATION SYSTEMS",SE
SE522339,APPARATUS AND METHOD FOR PROVIDING ACCESS TO A PLMN USING SHORT-RANGE RADIO COMMUNICATION IN LOCAL PREMISES,SE
SE527445,POSITION ADJUSTED GUARD TIME INTERVAL FOR OFDM-COMMUNICATIONS SYSTEM,SE
SG0147120,Method Of Zinc Oxide Film Grown On The Epitaxial Lateral Overgrowth Gallium Nitride Template,SG
SG076943,Methods and apparatus for dynamic smartcard synchronization and personalization,SG
SG083385,Methods and apparatus for authenticating the download of information onto a smart card,SG
SG086355,A Liquid crystal display device,SG
SG101306,OPTO-ELECTRONIC DEVICE INTEGRATION,SG
SG101307,Opto-electronic device integration,SG
SG101695,OPTO-ELECTRONIC DEVICE INTEGRATION,SG
SG101696,REDUNDANT OPTICAL DEVICE ARRAY,SG
SG101699,POST-FORMATION FEATURE OPTIMIZATION,SG
