patent_id	patent_title	assigneeOriginal	filingDate	publicationDate	grantDate
US20140303884	Automated Hazard Handling Routine Activation	Elwha LLC	2012-12-31	2014-10-09	
US20140305099	Systems, Methods, and Apparatuses related to the use of gas clathrates	Elwha LLC	2013-04-12	2014-10-16	
US20140305407	Systems, Methods, and Apparatuses Related to the Use of Gas Clathrates	Elwha LLC	2013-04-12	2014-10-16	
US20140307503	Eight Transistor Soft Error Robust Storage Cell	Tiraboschi Services LLC	2014-06-24	2014-10-16	
US20140307730	Voice over Internet Call Center Integration	Buffalo International Inc,III Holdings 1 LLC	2011-10-24	2014-10-16	
US20140310112	System for Monitoring a Product	Elwha LLC	2013-04-16	2014-10-16	
US20140312135	Odorant-Releasing Utensil	Elwha LLC	2014-04-24	2014-10-23	
US20140312714	Systems and Methods for Providing Wireless Power to a Power-Receiving Device, and Related Power-Receiving Devices	Searete LLC	2013-04-17	2014-10-23	
US20140313178	AUTOMATIC ACTIVITY DETECTION IN A DISPLAY CONTROLLER	Tamiras Per Pte Ltd LLC	2014-06-30	2014-10-23	
US20140313820	Field Programming Method for Magnetic Memory Devices	III Holdings 1 LLC	2014-07-01	2014-10-23	
US20140314155	System and method for transferring data	PacketVideo Corp	2014-07-01	2014-10-23	
US20140316694	METHOD AND SYSTEM FOR MOBILE DEVICE SELECTIVELY REPORTING OF GPS POSITION INFORMATION TO OTHERS	PLATT TECHNOLOGY INVESTMENTS LLC	2014-06-30	2014-10-23	
US20140320585	VoIP Interface Using a Wireless Home Entertainment Hub	PORTO VINCI Ltd LLC	2014-03-14	2014-10-30	
US20140322682	Systems and Methods for Competency Training and Use Authorization for Dispensing an Agent	Elwha LLC	2013-04-30	2014-10-30	
US20140322683	Devices and Methods for Competency Training and Use Authorization for Dispensing an Agent	Elwha LLC	2013-04-30	2014-10-30	
US20140323904	Stabilized Device for Remote Palpation of Tissue	Elwha LLC	2013-04-30	2014-10-30	
US20140323920	Stabilized Device for Remote Palpation of Tissue in Two Non-Collinear Directions	Elwha LLC	2013-04-30	2014-10-30	
US20140324089	Tattooing Systems and Methods	Elwha LLC	2013-04-30	2014-10-30	
US20140325006	Method and System for creating messages including image information	KDL Scan Designs LLC	2014-07-09	2014-10-30	
US20140325922	Systems and Methods for Damping Building Oscillations	Elwha LLC	2013-05-01	2014-11-06	
US20140329567	Mobile Device with Automatic Volume Control	Elwha LLC	2013-05-01	2014-11-06	
US20140330186	External Sensor-Based Control of Active Torso Support	Elwha LLC	2013-05-02	2014-11-06	
US20140330244	Implantable Device for Manipulating Immune Cells	Elwha LLC	2013-05-02	2014-11-06	
US20140330256	Implantable Device for Manipulating Immune Cells	Elwha LLC	2013-05-02	2014-11-06	
US20140330257	Implantable Device for Manipulating Immune Cells	Elwha LLC	2013-05-02	2014-11-06	
US20140333213	Field Emission Device With AC Output	Elwha LLC	2014-07-25	2014-11-13	
US20140333744	System and Method for Monitoring Potential Spread of an Infectious Agent in an Environment	Elwha LLC	2013-05-09	2014-11-13	
US20140334289	Dynamic Point To Point Mobile Network Including Intermediate Device Aspects System and Method	Elwha LLC	2013-07-03	2014-11-13	
US20140334374	Dynamic Point to Point Mobile Network Including Base Station Aspects System and Method	Elwha LLC	2013-07-31	2014-11-13	
US20140335469	Oral Illumination Systems and Methods	Elwha LLC	2013-08-19	2014-11-13	
US20140335781	Dynamic Point to Point Mobile Network System and Method	Elwha LLC	2013-05-10	2014-11-13	
US20140335782	Dynamic Point to Point Mobile Network Including Origination Device Aspects System and Method	Elwha LLC	2013-06-26	2014-11-13	
US20140335783	Dynamic Point to Point Mobile Network Including Destination Device Aspects System and Method	Elwha LLC	2013-07-05	2014-11-13	
US20140335789	Device Pairing Via Device to Device Contact	Searete LLC	2014-05-20	2014-11-13	
US20140335817	Dynamic Point to Point Mobile Network Including Origination User Interface Aspects System and Method	Elwha LLC	2013-08-29	2014-11-13	
US20140335821	SYSTEM AND METHOD FOR BLOCKING THE USE OF A SERVICE IN A TELECOMMUNICATION SYSTEM	Intellectual Ventures I LLC	2014-07-29	2014-11-13	
US20140335907	Dynamic Point to Point Mobile Network Including Base Station Aspects System and Method	Elwha LLC	2013-07-30	2014-11-13	
US20140336561	Needleless Injector Systems, and Related Methods and Components	Elwha LLC	2013-05-08	2014-11-13	
US20140337244	TRACKING POINTS RELATED TO A USER ACCOUNT FOR REDEMPTION 	DI-WALKOR III SERVICES LLC	2014-07-29	2014-11-13	
US20140337838	Dynamic Point to Point Mobile Network Including Destination Device Aspects System and Method	Elwha LLC	2013-07-29	2014-11-13	
US20140337839	Dynamic Point To Point Mobile Network Including Intermediate Device Aspects System and Method	Elwha LLC	2013-07-29	2014-11-13	
US20140337840	Dynamic Point to Point Mobile Network Including Intermediate User Interface Aspects System and Method	Elwha LLC	2013-08-29	2014-11-13	
US20140337841	Dynamic Point to Point Mobile Network Including Origination User Interface Aspects System and Method	Elwha LLC	2013-08-30	2014-11-13	
US20140337993	METHOD FOR MANAGING PRIVACY OF DIGITAL IMAGES	Intellectual Ventures Fund 83 LLC	2014-07-25	2014-11-13	
US20140340306	Bendable Electronic Device Status Information System and Method	Searete LLC	2014-05-27	2014-11-20	
US20140347223	Portable Wireless Node Orientation Adjustment	Elwha LLC	2013-08-23	2014-11-27	
US20140348041	COMMUNICATIONS IN A WIRELESS NETWORK	Intellectual Ventures Holding 81 LLC	2014-08-13	2014-11-27	
US20140348181	Time Synchronization between nodes of a switched interconnect fabric	Calxeda Inc	2013-05-22	2014-11-27	
US20140348182	Time Synchronization between nodes of a switched interconnect fabric	III Holdings 2 LLC,Silicon Valley Bank	2013-05-22	2014-11-27	
US20140348510	Data Center with Free-Space Optical Communications	Searete LLC	2014-08-11	2014-11-27	
US20140349145	Fast Thermal Dumping for Batteries	Elwha LLC	2013-05-23	2014-11-27	
US20140349569	Portable Wireless Node Auxiliary Relay	Elwha LLC	2013-07-31	2014-11-27	
US20140349637	Facilitating Wireless Communication In Conjunction With Orientation Position	Elwha LLC	2013-05-29	2014-11-27	
US20140349696	Supporting Antenna Assembly Configuration Network Infrastructure	Elwha LLC	2013-07-08	2014-11-27	
US20140350721	Vending Devices Having Ad-Watching as Consideration	Elwha LLC	2014-05-30	2014-11-27	
US20140351107	Management of a Remote Electric Vehicle Traction Battery System	Elwha LLC	2013-05-22	2014-11-27	
US20140358862	Automatic Mobile Device Backup	Searete LLC	2014-06-10	2014-12-04	
US20140359323	System and Method for Closed Loop Power Supply Control in Large, Multiple Processor Installations	SMOOTH-STONE, INC. C/O BARRY EVANS	2010-09-24	2014-12-04	
US20140359716	WEB PAGE SECURITY SYSTEM	III Holdings 1 LLC	2014-06-17	2014-12-04	
US20140361080	Systems, Devices, Admixtures, and Methods Including Transponders for Indication of Food Attributes	Elwha LLC	2014-06-09	2014-12-11	
US20140362251	Method And Apparatus For Automatically Categorizing Images In A Digital Camera	KDL Scan Designs LLC	2014-08-21	2014-12-11	
US20140364784	Time-Based Control of Active Torso Support	Elwha LLC	2013-06-05	2014-12-11	
US20140366072	A MULTI-USER MEDIA DELIVERY SYSTEM FOR SYNCHRONIZING CONTENT ON MULTIPLE MEDIA PLAYERS	Portulim Foundation LLC	2014-08-15	2014-12-11	
US20140369514	Portable Electronic Device Directed Audio Targeted Multuiple User System and Method	Elwha LLC	2013-06-18	2014-12-18	
US20140370812	ENHANCED WIRELESS HANDSET, INCLUDING DIRECT HANDSET-TO-HANDSET COMMUNICATION MODE	SBC TECHNOLOGY RESOURCES,AT&T Labs Inc,Intellectual Ventures I LLC	2014-06-25	2014-12-18	
US20140372994	Energy-focused re-compilation of executables and hardware mechanisms based on compiler-architecture interaction and compiler-inserted control	BlueRISC Inc	2014-03-14	2014-12-18	
US20140373445	Rapid Breeding of Plants	Elwha LLC	2013-06-20	2014-12-25	
US20140375065	Method and Apparatus for Storing Energy	Elwha LLC	2014-09-08	2014-12-25	
US20140377746	Rapid Breeding of Animals	Elwha LLC	2013-09-13	2014-12-25	
US20140378755	Rapid Breeding of Animals	Elwha LLC	2013-09-13	2014-12-25	
US20140379224	Systems and Methods for Adjusting the Position of a Wheelchair Occupant	Elwha LLC	2013-06-20	2014-12-25	
US20140379384	System and Method for Monitoring Driving to Determine an Insurance Property	Elwha LLC	2013-06-24	2014-12-25	
US20140379385	System and Method for Monitoring Driving to Determine an Insurance Property	Elwha LLC	2013-06-24	2014-12-25	
US20140379542	SYSTEM, METHOD AND COMPUTER PROGRAM PRODUCT FOR AN ACQUISITION PARTNER INTERFACE FOR INTEGRATING MULTIPLE PARTNER CHANNELS INTO A TRANSACTION ACCOUNT ISSUER PLATFORM	III Holdings 1 LLC	2014-07-21	2014-12-25	
US20140380211	Graphic-information flow method and system for visually analyzing patterns and relationships	Tavusi Data Solutions LLC	2014-05-19	2014-12-25	
US20140380519	Rapid Breeding of Plants	Elwha LLC	2013-06-20	2014-12-25	
US20150002477	Tactile Feedback Generated By Non-Linear Interaction of Surface Acoustic Waves	Elwha LLC	2013-06-27	2015-01-01	
US20150002607	PORTABLE VIDEO COMMUNICATION SYSTEM	Intellectual Ventures Fund 83 LLC	2014-09-15	2015-01-01	
US20150003204	Tactile Feedback in a Two or Three Dimensional Airspace	Elwha LLC	2013-06-27	2015-01-01	
US20150010178	SYSTEM AND METHOD FOR LOCATING A HEARING AID	Audiotoniq Inc	2014-09-25	2015-01-08	
US20150012365	CONCIERGE - SHOPPING WIDGET - METHOD FOR USER MANAGED PROFILE AND SELECTIVE TRANSMISSION THEREOF	Intellectual Ventures Fund 83 LLC	2014-09-22	2015-01-08	
US20150012428	SMARTCARD INTERNET AUTHORIZATION SYSTEM	III Holdings 1 LLC	2014-07-09	2015-01-08	
US20150012679	Implementing Remote Transaction Functionalities between data processing nodes of a switched interconnect fabric	III Holdings 2 LLC,Silicon Valley Bank	2013-07-03	2015-01-08	
US20150014057	Mining Drill With Gradient Sensing	Elwha LLC	2014-09-29	2015-01-15	
US20150016297	Methods for estimation and interference suppression for signal processing	III Holdings 1 LLC	2014-09-30	2015-01-15	
US20150016447	Reverse Context System	Searete LLC	2014-07-18	2015-01-15	
US20150016490	METHOD AND APPARATUS FOR SELECTIVELY APPLYING INTERFERENCE CANCELLATION IN SPREAD SPECTRUM SYSTEMS 	III Holdings 1 LLC	2014-09-30	2015-01-15	
US20150016632	Systems and Methods for Remapping an Audio Range to a Human Perceivable Range	Elwha LLC	2013-07-12	2015-01-15	
US20150019354	Automated Cooking System that Accepts Remote Orders	Elwha LLC	2013-07-12	2015-01-15	
US20150020075	Entitlement Vector for Managing Resource Allocation	Elwha LLC	2014-07-18	2015-01-15	
US20150024286	Active Cathode Temperature Control for Metal-Air Batteries	Elwha LLC	2013-07-17	2015-01-22	
US20150024496	Methods and Systems for Utilizing Sperm for Molecular Delivery	Elwha LLC	2013-07-19	2015-01-22	
US20150024497	Methods and Systems for Utilizing Sperm for Molecular Delivery	Elwha LLC	2013-07-19	2015-01-22	
US20150025306	Methods and Systems for Utilizing Sperm for Molecular Delivery	Elwha LLC	2013-07-19	2015-01-22	
US20150025953	Rewarding Influencers	Searete LLC	2014-07-30	2015-01-22	
US20150026679	Look Ahead of Links / Alter Links	Searete LLC	2014-07-28	2015-01-22	
US20150029050	Wearable Radar Reflectors	Elwha LLC	2013-07-25	2015-01-29	
US20150029051	Wearable Radar Reflectors	Elwha LLC	2013-08-27	2015-01-29	
US20150029914	Energy efficient forwarding in ad-hoc wireless networks	POWER MESH NETWORKS LLC,III Holdings 1 LLC,Raytheon BBN Technologies Corp	2009-08-06	2015-01-29	
US20150030076	HIERARCHICAL PACKING OF SYNTAX ELEMENTS	Calos Fund LLC	2014-10-13	2015-01-29	
US20150031146	Tool for Annealing of Magnetic Stacks	MagSil Corp	2012-03-19	2015-01-29	
US20150031290	Systems and Methods for Providing One or More Functionalities to a Wearable Computing Device with Small Form Factor	Elwha LLC	2013-07-25	2015-01-29	
US20150031345	Facilitating Wireless Communication In Conjunction With Orientation Position	Elwha LLC	2013-05-24	2015-01-29	
US20150032438	Sensor Emulation Using Mote Networks	Searete LLC	2014-06-03	2015-01-29	
US20150033115	SYSTEM AND METHOD FOR DISPLAYING UNREQUESTED INFORMATION WITHIN A WEB BROWSER	III Holdings 1 LLC	2014-08-08	2015-01-29	
US20150033281	On-Screen Television Input Management	ROBOTARMY Corp	2014-10-13	2015-01-29	
US20150033701	Systems, Methods, and Apparatuses Related to Vehicles with Reduced Emissions	Elwha LLC	2013-08-01	2015-02-05	
US20150033702	Systems, Methods, and Apparatuses Related to Vehicles with Reduced Emissions	Elwha LLC	2013-08-01	2015-02-05	
US20150033703	Systems, Methods, and Apparatuses Related to Vehicles with Reduced Emissions	Elwha LLC	2013-08-01	2015-02-05	
US20150033711	Systems, Methods, and Apparatuses Related to Vehicles with Reduced Emissions	Elwha LLC	2013-08-01	2015-02-05	
US20150035098	Memory Cell with Schottky Diode	III Holdings 1 LLC	2014-10-21	2015-02-05	
US20150035491	Electrochemical Energy Generation System Having Individually Controllable Cells	Elwha LLC	2013-07-30	2015-02-05	
US20150035683	Triggerable Support Package for Seeds	Elwha LLC	2013-07-31	2015-02-05	
US20150037484	Methods and Compositions Related to French Fry Dough and Products Thereof	Elwha LLC	2013-07-30	2015-02-05	
US20150037622	Load-Managed Electrochemical Energy Generation System	Elwha LLC	2013-07-30	2015-02-05	
US20150037623	Managed Access Electrochemical Energy Generation System	Elwha LLC	2013-07-30	2015-02-05	
US20150038189	Program for Adjusting Channel Interference Between Access Points in a Wireless Network	Piccata Fund LLC	2014-04-01	2015-02-05	
US20150039218	Systems and Methods for Adaptive Vehicle Sensing Systems	Elwha LLC	2013-07-31	2015-02-05	
US20150039324	Managing Risk of a Liability that is Incurred if a Subject treated for a Condition is Retreated Within a Specified Time Period	Elwha LLC	2013-07-31	2015-02-05	
US20150039337	Managing a Risk of a Liability That Is Incurred If One or More Subjects Each Treated For a Respective Condition Are Retreated Within a Respective Specified Time Period	Elwha LLC	2013-07-31	2015-02-05	
US20150039486	Generating a Description Of, And an Offer to Transfer or a Solicitation of an Offer to Acquire, an Asset That Includes At Least One Retreatment Contract	Elwha LLC	2013-07-31	2015-02-05	
US20150039594	METHOD AND APPARATUS FOR PHOTOGRAPH FINDING	Intellectual Ventures I LLC	2014-10-20	2015-02-05	
US20150046582	APPARATUS FOR INTERNETWORKED WIRELESS INTEGRATED NETWORK SENSORS (WINS)	Borgia/Cummins LLC	2014-09-02	2015-02-12	
US20150050159	Dual Element Turbine Blades	Elwha LLC	2013-08-14	2015-02-19	
US20150051021	Active Golf Tee	Elwha LLC	2013-08-15	2015-02-19	
US20150052106	Graphic-information flow method and system for visually analyzing patterns and relationships	Tavusi Data Solutions LLC	2014-05-19	2015-02-19	
US20150053480	Kinetic Penetrator Beacons for Multistatic Geophysical Sensing	Elwha LLC	2013-08-22	2015-02-26	
US20150053481	Kinetic Penetrator with a Retrieval Tether	Elwha LLC	2013-08-22	2015-02-26	
US20150054930	Systems, Methods and Devices for Assessing Microbiota of Skin	Elwha LLC	2013-08-23	2015-02-26	
US20150054944	Systems, Methods and Devices for Assessing Microbiota of Skin	Elwha LLC	2013-08-23	2015-02-26	
US20150054945	Systems, Methods and Devices for Assessing Microbiota of Skin	Elwha LLC	2013-08-23	2015-02-26	
US20150056335	System and Method for Producing Bread Products	Elwha LLC	2013-08-23	2015-02-26	
US20150056336	System and Method for Manufacture of Pizza Products	Elwha LLC	2013-08-23	2015-02-26	
US20150056337	System and Method for Producing Bread Products	Elwha LLC	2013-08-23	2015-02-26	
US20150057505	Method for Administering a Medicament to a Fetus	Elwha LLC	2013-08-22	2015-02-26	
US20150057574	Selecting and Delivering Treatment Agents Based on a Microbe Profile	Elwha LLC	2014-04-17	2015-02-26	
US20150057622	Systems, Methods, and Devices for Delivering Treatment to a Skin Surface	Elwha LLC	2014-02-27	2015-02-26	
US20150057623	Systems, Methods, and Devices for Delivering Treatment to a Skin Surface	Elwha LLC	2014-02-27	2015-02-26	
US20150057939	Modifying a Cosmetic Product Based on a Microbe Profile	Elwha LLC	2014-06-03	2015-02-26	
US20150057940	Modifying a Cosmetic Product Based on a Microbe Profile	Elwha LLC	2014-06-03	2015-02-26	
US20150058368	Systems and Methods for Generating a Treatment Map	Elwha LLC	2014-02-27	2015-02-26	
US20150058543	System and Method for Protecting Data Stored on a Removable Data Storage Device	Elwha LLC	2014-10-24	2015-02-26	
US20150061873	Systems and Methods for Warning of a Protruding Body Part of a Wheelchair Occupant	Elwha LLC	2013-08-30	2015-03-05	
US20150062014	Mouse-based User Interface Device Employing User-Removable Modules	BIORAM TECH LLC	2014-08-26	2015-03-05	
US20150063325	RECEIVER SCHEDULING IN WIRELESS NETWORKS 	III Holdings 1 LLC	2014-11-11	2015-03-05	
US20150064047	Systems and Methods for Additive Manufacturing of Three Dimensional Structures	Elwha LLC	2013-08-28	2015-03-05	
US20150064585	Systems and Methods for Hydrogen Fuel Storage and Hydrogen Powered Vehicles	Elwha LLC	2013-08-28	2015-03-05	
US20150064848	Semiconductor device having a diamond substrate heat spreader	Estivation Properties LLC	2014-10-28	2015-03-05	
US20150066345	Vehicle Collision Management System Responsive To User-Selected Preferences	Elwha LLC	2013-08-28	2015-03-05	
US20150066346	Vehicle Collision Management System Responsive To a Situation of an Occupant of an Approaching Vehicle	Elwha LLC	2013-08-28	2015-03-05	
US20150066349	Systems and Methods for Adjusting a Contour of a Vehicle Based on a Protrusion
	Elwha LLC	2013-08-30	2015-03-05	
US20150066664	Selection of Keyword Phrases for Provising Contextually Relevant Content to Users	RADEMACHER PROCESSING LLC	2014-11-18	2015-03-05	
US20150067063	System and Method for Comparison of Physical Entity Attribute Effects on Physical Environments Through in Part Social Networking Service Input	Searete LLC	2014-09-12	2015-03-05	
US20150069656	Systems and Methods for Manufacturing Concrete Structures	Elwha LLC	2013-09-06	2015-03-12	
US20150070166	System and Method for Gunshot Detection Within a Building	Elwha LLC	2013-09-09	2015-03-12	
US20150070582	Preservation/Degradation of Video/Audio Aspects of a Data Stream	Searete LLC	2014-08-12	2015-03-12	
US20150070652	Unobtrusive Active Eye Interrogation	Elwha LLC	2014-09-26	2015-03-12	
US20150070653	Unobtrusive Active Eye Interrogation	Elwha LLC	2014-09-26	2015-03-12	
US20150071038	System and Method for Gunshot Detection Within a Building	Elwha LLC	2013-09-09	2015-03-12	
US20150071113	System and method for high-performance, low-power data center interconnect fabric	III Holdings 2 LLC	2014-07-18	2015-03-12	
US20150071450	Systems and Methods for Monitoring Sound During An In-Building Emergency	Elwha LLC	2013-09-09	2015-03-12	
US20150072068	Systems and Methods for Manufacturing Concrete Structures	Elwha LLC	2013-09-06	2015-03-12	
US20150073997	SECURING A TRANSACTION BETWEEN A TRANSPONDER AND A READER	Xatra Fund MX LLC	2014-10-27	2015-03-12	
US20150074255	System and method for data center security enhancements leveraging managed server socs	III Holdings 2 LLC	2014-07-17	2015-03-12	
US20150074416	Encryption and authentication systems and methods	Bolique Applications Ltd LLC	2014-11-10	2015-03-12	
US20150074563	METHODS AND DEVICES FOR RECORDING CHANGES IN VISUAL STIMULI OBSERVED THROUGH BROWSER-BASED INTERFACES	Schlucktronix LLC	2014-11-10	2015-03-12	
US20150075282	Systems and Methods for Detecting Overhead Line Motion	Elwha LLC	2014-11-25	2015-03-19	
US20150077159	PROGRAMMABLE STRUCTURED ARRAYS	Callahan Cellular LLC,YAKIMISHU CO Ltd LLC	2014-08-18	2015-03-19	
US20150079605	Compositions and Methods Including Recombinant B Lymphocyte Cell Line Including an Exogenously Incorporated Nucleic Acid Expressing an Exogenous Membrane Immunoglobulin Reactive to a First Antigen and Including an Endogenous Gene Expressing an Endogenous Secreted Immunoglobulin Reactive to a Second Antigen	Elwha LLC	2014-11-21	2015-03-19	
US20150079973	RECOVERY TECHNIQUES IN MOBILE NETWORKS	Intellectual Ventures I LLC	2014-11-21	2015-03-19	
US20150081586	NOTICE AND NON-RESPONSE TRACKING	III Holdings 1 LLC,Ill HOLDINGS 1 LLC	2014-11-24	2015-03-19	
US20150088334	Systems and Methods for Insurance Based Upon Status of Vehicle Software	Elwha LLC	2013-09-20	2015-03-26	
US20150088550	Systems and Methods for Insurance Based Upon Status of Vehicle Software	Elwha LLC	2013-09-20	2015-03-26	
US20150090263	Device and Method for Detection and Treatment of Ventilator Associated Pneumonia in a Mammalian Subject	Elwha LLC	2013-10-02	2015-04-02	
US20150090269	Device and Method for Detection and Treatment of Ventilator Associated Pneumonia in a Mammalian Subject	Elwha LLC	2013-10-02	2015-04-02	
US20150090270	Device and Method for Detection and Treatment of Ventilator Associated Pneumonia in a Mammalian Subject	Elwha LLC	2013-10-02	2015-04-02	
US20150091503	Communication and Control System and Method Regarding Electric Vehicle Charging Equipment for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-11-25	2015-04-02	
US20150091507	Dwelling Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-30	2015-04-02	
US20150091531	Dwelling Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-31	2015-04-02	
US20150093986	Communication and Control Regarding Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-09-30	2015-04-02	
US20150093991	Mobile Device Sharing Facilitation Methods and Systems Featuring Inclusive Data Presentation	Elwha LLC	2014-02-07	2015-04-02	
US20150094035	Mobile Device Sharing Facilitation Methods and Systems	Elwha LLC	2013-09-30	2015-04-02	
US20150094037	Mobile Device Sharing Facilitation Methods and Systems with Recipient-Dependent Inclusion of a Data Selection	Elwha LLC	2014-01-08	2015-04-02	
US20150094038	Mobile Device Sharing Facilitation Methods and Systems Featuring Exclusive Data Presentation	Elwha LLC	2014-02-07	2015-04-02	
US20150094039	Mobile Device Sharing Facilitation Methods and Systems	Elwha LLC	2014-05-08	2015-04-02	
US20150094040	Mobile Device Sharing Facilitation Methods and Systems Featuring a Subset-Specific Source Identification	Elwha LLC	2014-07-09	2015-04-02	
US20150094041	Mobile Device Sharing Facilitation Methods and Systems Conditionally Providing Metadata in Lieu of Some User Content	Elwha LLC	2014-07-14	2015-04-02	
US20150094045	Mobile Device Sharing Facilitation Methods and Systems Suitable for Causing a Relayed Communication to Include a Mobile Device Identifier	Elwha LLC	2014-02-07	2015-04-02	
US20150094046	Mobile Device Sharing Facilitation Methods and Systems Operable in Network Equipment	Elwha LLC	2014-03-07	2015-04-02	
US20150094047	Mobile Device Sharing Facilitation Methods and Systems Featuring Routing Tag Derivation	Elwha LLC	2014-03-07	2015-04-02	
US20150094867	User Interface to Residence Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-31	2015-04-02	
US20150094888	Communication and Control System and Method Regarding Electric Vehicle Charging Equipment for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-11-27	2015-04-02	
US20150094957	Communication and Control System and Method Regarding Electric Vehicle for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-11-21	2015-04-02	
US20150095074	Employment Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-31	2015-04-02	
US20150095114	Employment Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-18	2015-04-02	
US20150095115	User Interface to Employment Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-20	2015-04-02	
US20150095116	User Interface to Employment Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-31	2015-04-02	
US20150095421	Mobile Device Sharing Facilitation Methods and Systems Featuring a Recipient-Selective Default Address Determination	Elwha LLC	2014-01-08	2015-04-02	
US20150095477	Mobile Device Sharing Facilitation Methods and Systems Featuring Party Identifier Inclusions that are Conditional	Elwha LLC	2014-01-08	2015-04-02	
US20150095789	User Interface to Residence Related Information Center Associated with Communication and Control System and Method for Wireless Electric Vehicle Electrical Energy Transfer	Elwha LLC	2013-12-31	2015-04-02	
US20150098954	Compositions and Methods Related to CRISPR Targeting	Elwha LLC	2013-10-08	2015-04-09	
US20150101068	Systems and methods for lossless compression of data and high speed manipulation thereof	III Holdings 1 LLC	2014-12-12	2015-04-09	
US20150102036	Systems and Methods for Fluid Containment	Elwha LLC	2013-10-15	2015-04-16	
US20150102154	Motor Vehicle with Captive Aircraft	Elwha LLC	2013-10-15	2015-04-16	
US20150103826	System and method for using a multi-protocol fabric module across a distributed server interconnect fabric.	Calxeda Inc	2013-10-12	2015-04-16	
US20150104002	Methods, Systems, and Devices for Handling Image Data from Captured Images	Elwha LLC	2013-10-16	2015-04-16	
US20150104003	Methods, Systems, and Devices for Handling Image Data from Captured Images	Elwha LLC	2013-11-19	2015-04-16	
US20150104004	Methods, Systems, and Devices for Delivering Image Data from Captured Images to Devices	Elwha LLC	2013-12-16	2015-04-16	
US20150104005	Methods, Systems, and Devices for Handling Captured Image Data That is Received by Devices	Elwha LLC	2013-12-17	2015-04-16	
US20150104006	Methods, Systems, and Devices for Handling Image Capture Devices and Captured Images	Elwha LLC	2014-03-19	2015-04-16	
US20150104012	Methods, Systems, and Devices for Delivering Image Data From Captured Images to Devices	Elwha LLC	2013-12-16	2015-04-16	
US20150104013	Methods, Systems, and Devices for Handling Captured Image Data That is Received by Devices	Elwha LLC	2013-12-17	2015-04-16	
US20150104080	Methods, Systems, and Devices for Obscuring Entities Depicted in Captured Images	Elwha LLC	2014-02-21	2015-04-16	
US20150104329	Peristaltic Pump Systems and Methods	Elwha LLC	2013-10-14	2015-04-16	
US20150104330	Peristaltic Pump Systems and Methods	Elwha LLC	2013-10-14	2015-04-16	
US20150106187	SYSTEM AND METHOD FOR INCENTING RFID TRANSACTION DEVICE USAGE AT A MERCHANT LOCATION	III Holdings 1 LLC	2014-12-22	2015-04-16	
US20150106194	Methods, Systems, and Devices for Handling Inserted Data into Captured Images	Elwha LLC	2013-12-16	2015-04-16	
US20150106195	Methods, Systems, and Devices for Handling Inserted Data into Captured Images	Elwha LLC	2013-12-16	2015-04-16	
US20150106287	Devices, Methods, and Systems for Managing Representations of Entities through Use of Privacy Beacons	Elwha LLC	2014-01-06	2015-04-16	
US20150106288	Devices, Methods, and Systems for Managing Representations of Entities through Use of Privacy Beacons	Elwha LLC	2014-01-06	2015-04-16	
US20150106623	Methods, Systems, and Devices for Handling Image Data from Captured Images	Elwha LLC	2013-10-16	2015-04-16	
US20150106627	Devices, Methods, and Systems for Analyzing Captured Image Data and Privacy Data	Elwha LLC	2013-11-19	2015-04-16	
US20150106628	Devices, Methods, and Systems for Analyzing Captured Image Data and Privacy Data	Elwha LLC	2013-11-19	2015-04-16	
US20150106886	SYSTEM, METHOD AND COMPUTER PROGRAM PRODUCT FOR GATHERING AND DELIVERING PERSONALIZED USER INFORMATION	ONEDERLAND TECHNOLOGY LLC	2014-10-20	2015-04-16	
US20150106947	Methods, Systems, and Devices for Handling Image Data from Captured Images	Elwha LLC	2013-11-19	2015-04-16	
US20150106948	Methods, Systems, and Devices for Monitoring Privacy Beacons Related to Entities Depicted in Images	Elwha LLC	2013-12-31	2015-04-16	
US20150106949	Devices, Methods, and Systems for Managing Representations of Entities Through Use of Privacy Indicators	Elwha LLC	2014-03-18	2015-04-16	
US20150106950	Methods, Systems, and Devices for Handling Image Capture Devices and Captured Images	Elwha LLC	2014-03-19	2015-04-16	
US20150106957	Methods, Systems, and Devices for Facilitating Viable Distribution of Data Collected by Wearable Computation	Elwha LLC	2013-10-10	2015-04-16	
